92 ==> 100 102 #SUP: 230044 #CONF: 0.8765417516050982
100 92020 ==> 92 #SUP: 76805 #CONF: 0.8692871856395862
92 92020 ==> 100 #SUP: 76805 #CONF: 0.8916506071652465
92020 ==> 92 100 #SUP: 76805 #CONF: 0.7701370714636665
100 92021 ==> 92 #SUP: 77677 #CONF: 0.8476782888634256
92 92021 ==> 100 #SUP: 77677 #CONF: 0.8449581203089307
92021 ==> 92 100 #SUP: 77677 #CONF: 0.7123716067498166
102 92020 ==> 92 #SUP: 86135 #CONF: 0.8637252444221609
92 92020 ==> 102 #SUP: 86135 #CONF: 0.9999651721655948
92020 ==> 92 102 #SUP: 86135 #CONF: 0.8636906015301467
102 92021 ==> 92 #SUP: 91928 #CONF: 0.8430899602887093
92 92021 ==> 102 #SUP: 91928 #CONF: 0.9999782443163276
92021 ==> 92 102 #SUP: 91928 #CONF: 0.8430667644900954
100 102 ==> 97 #SUP: 148339 #CONF: 0.5599599864104791
97 102 ==> 100 #SUP: 148339 #CONF: 0.8299056741000996
97 100 ==> 102 #SUP: 148339 #CONF: 0.9999932587299447
100 ==> 97 102 #SUP: 148339 #CONF: 0.559951531440392
97 ==> 100 102 #SUP: 148339 #CONF: 0.8298963881305107
102 92020 ==> 97 #SUP: 63885 #CONF: 0.6406116821258461
97 92020 ==> 102 #SUP: 63885 #CONF: 0.9999843471183045
92020 ==> 97 102 #SUP: 63885 #CONF: 0.6405859880275546
98 102 ==> 100 #SUP: 116571 #CONF: 0.9268364434338053
98 100 ==> 102 #SUP: 116571 #CONF: 0.9999742652735601
98 ==> 100 102 #SUP: 116571 #CONF: 0.926792230817545
102 92020 ==> 100 #SUP: 88352 #CONF: 0.8859563800451241
100 92020 ==> 102 #SUP: 88352 #CONF: 0.9999773637865857
92020 ==> 100 102 #SUP: 88352 #CONF: 0.8859208454912814
102 92021 ==> 100 #SUP: 91633 #CONF: 0.840384456652329
100 92021 ==> 102 #SUP: 91633 #CONF: 0.9999781742783871
92021 ==> 100 102 #SUP: 91633 #CONF: 0.840361335289802
50 100 102 ==> 92 #SUP: 62378 #CONF: 0.877636299683433
50 92 102 ==> 100 #SUP: 62378 #CONF: 0.9031520118146148
50 92 100 ==> 102 #SUP: 62378 #CONF: 1.0
50 102 ==> 92 100 #SUP: 62378 #CONF: 0.7891554071150245
50 100 ==> 92 102 #SUP: 62378 #CONF: 0.8776239518262142
50 92 ==> 100 102 #SUP: 62378 #CONF: 0.9031520118146148
50 ==> 92 100 102 #SUP: 62378 #CONF: 0.789145423492947
60 100 102 ==> 92 #SUP: 69765 #CONF: 0.8768963913573574
60 92 102 ==> 100 #SUP: 69765 #CONF: 0.9080791909094459
60 92 100 ==> 102 #SUP: 69765 #CONF: 1.0
60 102 ==> 92 100 #SUP: 69765 #CONF: 0.7918392826740821
60 100 ==> 92 102 #SUP: 69765 #CONF: 0.8768963913573574
60 92 ==> 100 102 #SUP: 69765 #CONF: 0.9080791909094459
60 ==> 92 100 102 #SUP: 69765 #CONF: 0.7918392826740821
79 100 102 ==> 92 #SUP: 61781 #CONF: 0.8913463758079408
79 92 102 ==> 100 #SUP: 61781 #CONF: 0.9212931895793257
79 92 100 ==> 102 #SUP: 61781 #CONF: 0.9999838140558739
79 102 ==> 92 100 #SUP: 61781 #CONF: 0.817771483030656
79 100 ==> 92 102 #SUP: 61781 #CONF: 0.8913335160792347
79 92 ==> 100 102 #SUP: 61781 #CONF: 0.9212794512376976
79 ==> 92 100 102 #SUP: 61781 #CONF: 0.8177606586453825
81 100 102 ==> 92 #SUP: 62101 #CONF: 0.8695913966449156
81 92 102 ==> 100 #SUP: 62101 #CONF: 0.8711039416467948
81 92 100 ==> 102 #SUP: 62101 #CONF: 1.0
81 102 ==> 92 100 #SUP: 62101 #CONF: 0.7557164587770003
81 100 ==> 92 102 #SUP: 62101 #CONF: 0.8695913966449156
81 92 ==> 100 102 #SUP: 62101 #CONF: 0.8711039416467948
81 ==> 92 100 102 #SUP: 62101 #CONF: 0.7557164587770003
92 97 100 ==> 86 #SUP: 91668 #CONF: 0.7358045303494887
86 97 100 ==> 92 #SUP: 91668 #CONF: 0.8392507278486807
86 92 100 ==> 97 #SUP: 91668 #CONF: 0.5984957300671176
86 92 97 ==> 100 #SUP: 91668 #CONF: 0.8504708447372084
97 100 ==> 86 92 #SUP: 91668 #CONF: 0.6179587434272616
92 97 ==> 86 100 #SUP: 91668 #CONF: 0.6142156468601753
86 100 ==> 92 97 #SUP: 91668 #CONF: 0.5189920000905863
86 97 ==> 92 100 #SUP: 91668 #CONF: 0.7094607145068417
86 92 ==> 97 100 #SUP: 91668 #CONF: 0.529753408191217
97 ==> 86 92 100 #SUP: 91668 #CONF: 0.5128451864118516
92 97 102 ==> 86 #SUP: 107785 #CONF: 0.7222065878695291
86 97 102 ==> 92 #SUP: 107785 #CONF: 0.8342040291934647
86 92 102 ==> 97 #SUP: 107785 #CONF: 0.6229050602186829
86 92 97 ==> 102 #SUP: 107785 #CONF: 1.0
97 102 ==> 86 92 #SUP: 107785 #CONF: 0.603019995300489
92 97 ==> 86 102 #SUP: 107785 #CONF: 0.7222065878695291
86 102 ==> 92 97 #SUP: 107785 #CONF: 0.5360251041863519
86 97 ==> 92 102 #SUP: 107785 #CONF: 0.8341975729057024
86 92 ==> 97 102 #SUP: 107785 #CONF: 0.6228942608313732
97 ==> 86 92 102 #SUP: 107785 #CONF: 0.6030132479971355
86 ==> 92 97 102 #SUP: 107785 #CONF: 0.5360144415822086
92 98 100 ==> 86 #SUP: 61496 #CONF: 0.5830939174133599
